	void	main	(	)	{	}	int	return	;	array	[	]	float	bool	long	string	if	then	else	for	,	scanf	printf	='	l	nb	real	id	= ='	<	>	+	-	*	/	++	--	"%	"	&	d	f	c	s	$	S	P	D	T	I	A	E	F
27	err	err	err	r23	err	r23	err	err	r23	r23	s52	r23	err	err	err	err	err	err	err	err	r23	err	err	r23	err	err	err	err	r23	r23	r23	r23	r23	r23	r23	r23	r23	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
28	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s54	s55	s56	s57	err	err	err	err	err	err	err	err	53
29	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	58	err
30	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	59	err
31	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	60	err
32	err	err	err	err	err	err	err	err	s61	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
33	err	err	err	err	err	err	err	err	r4	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
34	err	err	err	err	err	r13	err	err	r13	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
35	err	err	s63	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
36	err	err	s64	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
37	err	err	s65	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
